game_pk,faced_pitcher,pitcher_side,batting_side,player_id,batting_order,PA,xwoba_raw,xwoba_shrunk,slot_weight,savant_backfill,model_tag,model_metric,snapshot_utc
823742,Robert Gasser,home,away,621438,4.0,217.0,0.318,0.3169241665264449,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Robert Gasser,home,away,663538,5.0,615.0,0.324,0.3226838612431931,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Robert Gasser,home,away,807713,6.0,168.0,0.307,0.3098319432421009,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Robert Gasser,home,away,608348,7.0,380.0,0.31,0.310956168310173,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Robert Gasser,home,away,681230,8.0,6.0,0.099,0.3023864225366324,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Robert Gasser,home,away,699393,9.0,207.0,0.289,0.2973353771624854,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Joe Ryan,away,home,690993,1.0,397.0,0.335,0.3308932812653582,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Joe Ryan,away,home,805808,2.0,622.0,0.35,0.3450955135580097,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Joe Ryan,away,home,650402,3.0,369.0,0.327,0.32435386095710667,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Joe Ryan,away,home,682985,4.0,515.0,0.369,0.36015278177054155,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Joe Ryan,away,home,693307,5.0,555.0,0.343,0.3386625355555466,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Joe Ryan,away,home,656716,6.0,389.0,0.282,0.2886645414905583,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Joe Ryan,away,home,679529,7.0,544.0,0.31,0.31071267203242703,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Joe Ryan,away,home,703601,8.0,130.0,0.311,0.3125606990821001,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Joe Ryan,away,home,807726,9.0,21.0,0.325,0.31639637015605815,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Troy Melton,home,away,807712,1.0,540.0,0.314,0.3140921262326297,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Troy Melton,home,away,686797,2.0,551.0,0.276,0.2819277431472858,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Troy Melton,home,away,665019,3.0,509.0,0.339,0.3349917254333055,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Troy Melton,home,away,680777,4.0,317.0,0.357,0.3468296421795756,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Troy Melton,home,away,605137,5.0,558.0,0.331,0.3285060194359925,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Troy Melton,home,away,668904,6.0,441.0,0.315,0.31492414193878565,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Troy Melton,home,away,663616,7.0,418.0,0.327,0.3246041714071101,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Troy Melton,home,away,701785,8.0,100.0,0.313,0.31379480394441517,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824229,Troy Melton,home,away,805805,9.0,31.0,0.24,0.29693863197620635,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Jake Irvin,away,home,665487,1.0,621.0,0.375,0.3666213048389501,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Jake Irvin,away,home,592518,2.0,594.0,0.336,0.33291492909060955,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Jake Irvin,away,home,701538,3.0,587.0,0.338,0.3345923737829447,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Jake Irvin,away,home,593428,4.0,538.0,0.32,0.3191519761581239,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Jake Irvin,away,home,664034,5.0,429.0,0.332,0.32870881056499623,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Jake Irvin,away,home,630105,6.0,351.0,0.271,0.2806651015274569,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Jake Irvin,away,home,666023,7.0,242.0,0.273,0.28516070406106153,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Jake Irvin,away,home,669134,8.0,192.0,0.344,0.3339279479071337,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Jake Irvin,away,home,823550,9.0,143.0,0.256,0.2801109497484899,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Nick Pivetta,home,away,695734,1.0,592.0,0.33,0.3277730647238194,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Nick Pivetta,home,away,682928,2.0,588.0,0.329,0.32690546626291134,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Nick Pivetta,home,away,695578,3.0,554.0,0.417,0.4013409186374359,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Nick Pivetta,home,away,683083,4.0,464.0,0.266,0.27461517870369334,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Nick Pivetta,home,away,696285,5.0,428.0,0.32,0.3189753045243997,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Nick Pivetta,home,away,686611,6.0,375.0,0.307,0.3085978121871221,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Nick Pivetta,home,away,678391,7.0,319.0,0.298,0.30195933362501914,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Nick Pivetta,home,away,660688,8.0,318.0,0.286,0.29283961911216033,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823254,Nick Pivetta,home,away,691781,9.0,304.0,0.336,0.33070039799228473,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Michael McGreevy,away,home,646240,1.0,615.0,0.339,0.33558595914529094,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Michael McGreevy,away,home,808982,2.0,533.0,0.316,0.3157771892399416,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Michael McGreevy,away,home,805811,3.0,407.0,0.356,0.3478322698005582,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Michael McGreevy,away,home,687551,4.0,357.0,0.325,0.322722014855324,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Michael McGreevy,away,home,683766,5.0,157.0,0.236,0.26657961396452545,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Michael McGreevy,away,home,701852,6.0,135.0,0.322,0.3188466416548214,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Michael McGreevy,away,home,678545,7.0,115.0,0.273,0.2923440036692234,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Michael McGreevy,away,home,813841,8.0,91.0,0.273,0.29477466381614154,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Michael McGreevy,away,home,687529,9.0,71.0,0.311,0.3130991858999008,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Logan Webb,home,away,671056,1.0,642.0,0.332,0.32965358596884503,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Logan Webb,home,away,676475,2.0,605.0,0.373,0.36471483799841564,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Logan Webb,home,away,691023,3.0,601.0,0.347,0.34237654891424113,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Logan Webb,home,away,701675,4.0,405.0,0.282,0.28845338770075846,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Logan Webb,home,away,665877,5.0,328.0,0.291,0.29651159062823135,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Logan Webb,home,away,669357,6.0,265.0,0.276,0.2865724953120083,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Logan Webb,home,away,686780,7.0,198.0,0.268,0.28363409660699007,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Logan Webb,home,away,687363,8.0,186.0,0.276,0.28949286989119943,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823175,Logan Webb,home,away,663494,9.0,152.0,0.298,0.30458317773366284,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823902,Chase Burns,away,home,518692,1.0,592.0,0.372,0.36370370056196966,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
